ID	Drug	Target
1	Erlotinib	"EGFR,ERBB,ERBB1,HER1,NISBD2,PIG61,mENA,NR1I2,BXR,ONR1,PAR,PAR1,PAR2,PARq,PRR,PXR,SAR,SXR"
2	Rapamycin	"MTOR,FRAP,FRAP1,FRAP2,RAFT1,RAPT1,SKS,FKBP1A,FKBP-12,FKBP-1A,FKBP1,FKBP12,PKC12,PKCI2,PPIASE,FGF2,BFGF,FGF-2,FGFB,HBGF-2,FGF13,FGF-13,FGF2,FHF-2,FHF2"
3	Sunitinib	"PDGFRB,CD140B,IBGC4,IMF1,JTK12,KOGS,PDGFR,PDGFR-1,PDGFR1,PENTT,FLT1,FLT,FLT-1,VEGFR-1,VEGFR1,KIT,C-Kit,CD117,MASTC,PBT,SCFR,KDR,CD309,FLK1,VEGFR,VEGFR2,FLT4,FLT-4,FLT41,LMPH1A,LMPHM1,PCL,VEGFR-3,VEGFR3,FLT3,CD135,FLK-2,FLK2,STK1,CSF1R,C-FMS,CD115,CSF-1R,CSFR,FIM2,FMS,HDLS,M-CSF-R,PDGFRA,CD140A,PDGFR-2,PDGFR2,KDR,CD309,FLK1,VEGFR,VEGFR2,RET,CDHF12,CDHR16,HSCR1,MEN2A,MEN2B,MTC1,PTC,RET-ELE1"
4	PHA-665752	"MET,AUTS9,DFNB97,HGFR,RCCP2,c-Met,RNMT,CMT1,CMT1c,MET,Met,RG7MT1,cm1p,hCMT1,hMet,MST1R,CD136,CDw136,NPCA3,PTK8,RON,KDR,CD309,FLK1,VEGFR,VEGFR2"
5	MG-132	"CAPN1,CANP,CANP1,CANPL1,SPG76,muCANP,muCL,PSMA1,HC2,HEL-S-275,NU,PROS30,PSMA2,HC3,MU,PMSA2,PSC2,PSMA3,HC8,PSC3,PSMA4,HC9,HsT17706,PSC9,PSMA5,PSC5,ZETA,PSMA6,IOTA,PROS27,p27K,PSMA7,C6,HEL-S-276,HSPC,RC6-1,XAPC7,PSMA8,PSMA7L,PSMB1,HC5,PMSB1,PSC5,PSMB2,HC7-I,PSMB3,HC10-II,PSMB4,HN3,HsN3,PRAAS3,PROS-26,PROS26,PSMB5,LMPX,MB1,X,PSMB6,DELTA,LMPY,Y,PSMB7,Z,PSMB8,ALDD,D6S216,D6S216E,JMP,LMP7,NKJO,PRAAS1,PSMB5i,RING10,PSMB9,LMP2,PRAAS3,PSMB6i,RING12,beta1i,PSMB10,LMP10,MECL1,beta2i,PSMC1,P26S4,S4,p56,PSMC2,MSS1,Nbla10058,S7,PSMC3,TBP1,PSMC4,MIP224,RPT3,S6,TBP-7,TBP7,PSMC5,S8,SUG-1,SUG1,TBP10,TRIP1,p45,p45/SUG,PSMC6,SUG2,p42,PSMD1,P112,Rpn2,S1,RNU1-93P,HTR2B,PSMD1,TSARG1,PSMD2,P97,RPN1,S2,TRAP2,PSMD3,P58,RPN3,S3,TSTA2,PSMD4,AF,AF-1,ASF,MCB1,Rpn10,S5A,pUB-R5,PSMD5,S5B,PSMD6,Rpn7,S10,SGA-113M,p42A,p44S10,PSMD7,MOV34,P40,Rpn8,S12,PSMD8,HEL-S-91n,HIP6,HYPF,Nin1p,Rpn12,S14,p31,PSMD9,Rpn4,p27,PSMD10,dJ889N15.2,p28,p28(GANK),PSMD11,Rpn6,S9,p44.5,PSMD12,Rpn5,STISS,p55,PSMD13,HSPC027,Rpn9,S11,p40.5,PSMD14,PAD1,POH1,RPN11,PSME1,HEL-S-129m,IFI5111,PA28A,PA28alpha,REGalpha,PSME2,PA28B,PA28beta,REGbeta,PSME3,HEL-S-283,Ki,PA28-gamma,PA28G,PA28gamma,REG-GAMMA,PSME4,PA200,PSMF1,PI31"
6	Paclitaxel	"TUBB1,TUBB,CDCBM6,CSCSC1,M40,OK/SW-cl.56,TUBB1,TUBB5,BCL2,Bcl-2,PPP1R50,NR1I2,BXR,ONR1,PAR,PAR1,PAR2,PARq,PRR,PXR,SAR,SXR,MAP4,MAP2,MAP-2,MAP2A,MAP2B,MAP2C,METAP2,MAP2,MNPEP,p67eIF2,MAPT,DDPAC,FTDP-17,MAPTL,MSTD,MTBT1,MTBT2,PPND,PPP1R103,TAU"
7	Cyclopamine	"BRAF,B-RAF1,B-raf,BRAF1,NS7,RAFB1,RAF1,CMD1NN,CRAF,NS5,Raf-1,c-Raf,RNASE3,ECP,RAF1,RNS3"
8	AZ628	"BRAF,B-RAF1,B-raf,BRAF1,NS7,RAFB1"
9	Sorafenib	"BRAF,B-RAF1,B-raf,BRAF1,NS7,RAFB1,RAF1,CMD1NN,CRAF,NS5,Raf-1,c-Raf,RNASE3,ECP,RAF1,RNS3,FLT4,FLT-4,FLT41,LMPH1A,LMPHM1,PCL,VEGFR-3,VEGFR3,KDR,CD309,FLK1,VEGFR,VEGFR2,FLT3,CD135,FLK-2,FLK2,STK1,PDGFRB,CD140B,IBGC4,IMF1,JTK12,KOGS,PDGFR,PDGFR-1,PDGFR1,PENTT,KIT,C-Kit,CD117,MASTC,PBT,SCFR,FGFR1,BFGFR,CD331,CEK,ECCL,FGFBR,FGFR-1,FLG,FLT-2,FLT2,HBGFR,HH2,HRTFDS,KAL2,N-SAM,OGD,bFGF-R-1,RET,CDHF12,CDHR16,HSCR1,MEN2A,MEN2B,MTC1,PTC,RET-ELE1,FLT1,FLT,FLT-1,VEGFR-1,VEGFR1"
10	Tozasertib	"AURKA,AIK,ARK1,AURA,BTAK,PPP1R47,STK15,STK6,STK7,AURKB,AIK2,AIM-1,AIM1,ARK-2,ARK2,AurB,IPL1,PPP1R48,STK-1,STK12,STK5,aurkb-sv1,aurkb-sv2,AURKC,AIE2,AIK3,ARK3,AurC,HEL-S-90,SPGF5,STK13,aurora-C,others"
11	Imatinib	"ABL1, BCR,KIT,C-Kit,CD117,MASTC,PBT,SCFR,RET,CDHF12,CDHR16,HSCR1,MEN2A,MEN2B,MTC1,PTC,RET-ELE1,NTRK1,MTC,TRK,TRK1,TRKA,Trk-A,p140-TrkA,CSF1R,C-FMS,CD115,CSF-1R,CSFR,FIM2,FMS,HDLS,M-CSF-R,PDGFRA,CD140A,PDGFR-2,PDGFR2,DDR1,CAK,CD167,DDR,EDDR1,HGK2,MCK10,NEP,NTRK4,PTK3,PTK3A,RTK6,TRKE,PDGFRB,CD140B,IBGC4,IMF1,JTK12,KOGS,PDGFR,PDGFR-1,PDGFR1,PENTT"
12	NVP-TAE684	"ALK,CD246,NBLST3"
13	Crizotinib	"MET,AUTS9,DFNB97,HGFR,RCCP2,c-Met,RNMT,CMT1,CMT1c,MET,Met,RG7MT1,cm1p,hCMT1,hMet,ALK,CD246,NBLST3,ROS1,MCF3,ROS,c-ros-1"
14	Saracatinib	"ABL1,ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl,MTTP,ABL,MTP,SRC,ASV,SRC1,THC6,c-SRC,p60-Src"
15	S-Trityl-L-cysteine	"KIF11,EG5,HKSP,KNSL1,MCLMR,TRIP5"
16	Z-LLNle-CHO	"APP,AAA,ABETA,ABPP,AD1,APPI,CTFgamma,CVAP,PN-II,PN2,preA4,NOTCH1,AOS5,AOVD1,TAN1,hN1,NOTCH2,AGS2,HJCYS,hN2,NOTCH3,CADASIL,CADASIL1,CASIL,IMF2,LMNS,NOTCH4,INT3,ERBB4,ALS19,HER4,p180erbB4,CDH1,Arc-1,BCDS1,CD324,CDHE,ECAD,LCAM,UVO,FZR1,CDC20C,CDH1,FZR,FZR2,HCDH,HCDH1,CDH2,CD325,CDHN,CDw325,NCAD,EFNB2,EPLG5,HTKL,Htk-L,LERK5,CD44,CDW44,CSPG8,ECMR-III,HCELL,HUTCH-I,IN,LHR,MC56,MDU2,MDU3,MIC4,Pgp1"
17	Dasatinib	"ABL1,ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl,SRC,ASV,SRC1,THC6,c-SRC,p60-Src,EPHA2,ARCC2,CTPA,CTPP1,CTRCT6,ECK,LCK,IMD22,LSK,YT16,p56lck,pp58lck,YES1,HsT441,P61-YES,Yes,c-yes,KIT,C-Kit,CD117,MASTC,PBT,SCFR,PDGFRB,CD140B,IBGC4,IMF1,JTK12,KOGS,PDGFR,PDGFR-1,PDGFR1,PENTT,STAT5B,STAT5,ABL2,ABLL,ARG,FYN,SLK,SYN,p59-FYN,BTK,AGMX1,AT,ATK,BPK,IGHD3,IMD1,PSCTK1,XLA,NR4A3,CHN,CSMF,MINOR,NOR1,TEC,BCR,ALL,BCR1,CML,D22S11,D22S662,PHL,RN7SL263P,BCR,rbc,CSK,EPHA5,CEK7,EHK-1,EHK1,EK7,HEK7,TYRO4,EPHB4,CMAVM2,HFASD,HTK,LMPHM7,MYK1,TYRO11,FGR,SRC2,c-fgr,c-src2,p55-Fgr,p55c-fgr,p58-Fgr,p58c-fgr,FRK,GTK,PTK5,RAK,HSPA8,HEL-33,HEL-S-72p,HSC54,HSC70,HSC71,HSP71,HSP73,HSPA10,LAP-1,LAP1,NIP71,LYN,JTK8,p53Lyn,p56Lyn,MAP3K20,AZK,CNM6,MLK7,MLT,MLTK,MLTKalpha,MLTKbeta,MRK,SFMMP,ZAK,mlklak,pk,MAPK14,CSBP,CSBP1,CSBP2,CSPB1,EXIP,Mxi2,PRKM14,PRKM15,RK,SAPK2A,p38,p38ALPHA,PPAT,ATASE,GPAT,PRAT,COASY,DPCK,NBIA6,NBP,PCH12,PPAT,UKR1,pOV-2"
18	GNF-2	"BCR,ALL,BCR1,CML,D22S11,D22S662,PHL,RN7SL263P,BCR,rbc,ABL1,ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl"
19	CGP-60474	"CDK1,CDC2,CDC28A,P34CDC2,CDK2,CDKN2,p33(CDK2),CDK5,LIS7,PSSALRE,CDK7,CAK,CAK1,CDKN7,HCAK,MO15,STK1,p39MO15,CDK9,C-2k,CDC2L4,CTK1,PITALRE,TAK,PRRT2,BFIC2,BFIS2,DSPB3,DYT10,EKD1,FICCA,ICCA,IFITMD1,PKC"
20	CGP-082996	"CDK4,CMM3,PSK-J3"
21	A-770041	"LCK,IMD22,LSK,YT16,p56lck,pp58lck,FYN,SLK,SYN,p59-FYN"
22	WH-4-023	"SRC,ASV,SRC1,THC6,c-SRC,p60-Src,LCK,IMD22,LSK,YT16,p56lck,pp58lck"
23	WZ-1-84	"BMX,ETK,PSCTK2,PSCTK3"
24	BI-2536	"PLK1,PLK,STPK13,PLK2,SNK,hPlk2,hSNK,PLK3,CNK,FNK,PLK-3,PRK"
25	BMS-536924	"IGF1R,CD221,IGFIR,IGFR,JTK13,IR"
26	BMS-509744	"ITK,EMT,LPFS1,LYK,PSCTK2"
27	CMK	"RPS6KA3,CLS,HU-3,ISPK-1,MAPKAPK1B,MRX19,RSK,RSK2,S6K-alpha3,p90-RSK2,pp90RSK2"
28	Pyrimethamine	"DHFR,DHFRP1,DYR,HEXB,ENC-1AS,HEL-248,HEL-S-111"
29	JW-7-52-1	"MTOR,FRAP,FRAP1,FRAP2,RAFT1,RAPT1,SKS"
